시기, 1.214664910159686, 19
계신, 1.8506839328968108, 95
오래, 1.8752651017356279, 101
이상, 2.1978378094840263, 225
해주시, 1.1938672690056138, 18
평결, 4.422300833652588, 55
걸려, 1.8712703392932488, 100
지금, 2.9470108330287124, 1433
고치, 1.007542943394988, 11
여러, 1.5250354115261306, 42
오시, 1.8984408441825342, 107
ㅊㅋㅊㅋ, 1.9021778762410477, 108
즐기, 1.3210444650157163, 25
관계, 1.1719448972881534, 17
있는, 2.7971880344694737, 990
있어, 2.843168085872849, 1109
얼마나, 2.0396670556287937, 152
뭔가, 1.8548856814624806, 96
다른사람, 1.4177118164110207, 32
아니, 2.946444936065802, 1431
드릴, 2.3854819482835836, 358
드립니, 1.405234982503038, 31
다리, 1.7451482183206055, 73
창고, 2.055263790343155, 158
그냥, 2.8596323026837105, 1155
리지, 1.098019867552244, 14
배심원, 4.5690000625128535, 63
하라, 2.0178918848961076, 144
있으, 2.5621210893722415, 554
맞아, 2.052705642374135, 157
너무, 2.6995911684993357, 778
이번, 2.1144744907360598, 183
다음, 2.262385757107853, 264
아이템, 1.9203632158999946, 113
디버프, 1.0399974685151088, 12
많다, 2.0234462883047466, 146
누구, 2.374027369916885, 348
공지, 1.5434688179460168, 44
ㅡㅡㅋ, 1.4415695861139577, 34
하겠, 1.9167908129834186, 112
않고, 1.2885899398955958, 23
색깔, 1.007542943394988, 11
여러분, 1.5250354115261306, 42
래야, 1.4854464189088816, 38
의견, 1.0399974685151088, 12
파서, 1.098019867552244, 14
오스, 2.015085886789976, 143
같아, 2.309972626408233, 297
기준, 1.1241879860024302, 15
사자, 1.9704843619199035, 128
있었, 2.204951414893315, 229
ㅠㅠ, 2.8939173731618526, 1257
잘못, 1.6248337831757187, 54
신가, 1.7916856847529945, 82
들어갈, 1.4415695861139577, 34
얻어, 1.5696369363962033, 47
시간, 2.7257918165422312, 830
새벽, 1.4957119066602935, 39
수가, 1.4415695861139577, 34
ㅈㅅ, 1.7612615349727347, 76
보물상자, 1.4529918937887611, 35
신고, 1.9478629122566669, 121
고민, 1.3051418343169416, 24
부분, 1.4641012218199978, 36
강호순, 3.3447497632087426, 20
같은, 2.78933874497008, 971
보이는, 1.913186654957917, 111
가볼, 2.026195214821213, 147
말씀, 1.6321396584573098, 55
ㅋㅋ, 3.631278664949638, 7752
분배, 1.007542943394988, 11
서요, 1.9167908129834186, 112
부탁드립니, 1.3653209677376368, 28
서영, 2.7299489816502, 11
다른, 2.4567630415372594, 427
캐릭, 1.755961262006829, 75
겁니, 1.3210444650157163, 25
가장, 1.5942181052350206, 50
ㅌㅌ, 1.6173938476819265, 53
건의, 1.0399974685151088, 12
서리, 2.3705269299765446, 345
여기, 3.1140432463393126, 2164
테라, 2.0065494639535317, 140
대화, 1.8421475100603664, 93
왕관, 1.7867708959943294, 81
감옥, 2.3167192896870215, 302
벗고, 1.098019867552244, 14
빠짐, 1.1719448972881534, 17
그런, 2.442297829463808, 412
분명, 1.214664910159686, 19
하신, 1.8107699181314099, 86
다르, 1.5779973379109737, 48
모든, 1.4298161513418552, 33
이런, 2.31268477771193, 299
다운, 1.23444761934926, 20
채널, 1.098019867552244, 14
수락, 1.007542943394988, 11
아닌, 2.5124418881624058, 490
때문, 2.094140503272429, 174
중이, 1.7916856847529945, 82
개발, 1.1938672690056138, 18
만들, 2.629911885496152, 655
테스, 1.0399974685151088, 12
설마, 1.8013400719997186, 84
마무리, 3.4914489920690093, 23
화장, 1.1241879860024302, 15
많으, 1.8107699181314099, 86
내용, 1.1938672690056138, 18
마시, 1.405234982503038, 31
저기, 2.556234015236416, 546
용병, 1.5057238994937217, 40
해서, 2.105562810947232, 179
신고해야, 1.214664910159686, 19
하세, 2.391090130471811, 363
지내, 1.0700456654560944, 13
야할, 2.052705642374135, 157
채팅, 1.8464381861640848, 94
마리, 2.6732495147980053, 729
소환, 2.1661301350228617, 208
이후, 1.3790668640528516, 29
셨습, 2.8178848839186164, 12
기는, 1.3653209677376368, 28
하면, 2.689045317645258, 758
회수, 1.5250354115261306, 42
마지막, 1.9978294481286176, 137
문제, 1.9274149607388518, 115
사람, 2.8757911685127984, 1202
범선, 2.377497848520285, 351
날틀, 2.4432783985223905, 413
밀어, 1.781795801575092, 80
계시, 1.7505907847107147, 74
순서대로, 1.0700456654560944, 13
해볼, 1.8107699181314099, 86
조금, 1.9859031439835664, 133
잠시, 2.337583833754884, 318
눈물, 2.2272447519688647, 242
진행, 1.8245158144466245, 89
혹시, 2.354999122607544, 332
만들었, 1.8752651017356279, 101
삽질, 1.0399974685151088, 12
요기, 2.175716045036652, 213
안되, 2.6648312516908272, 714
없어, 2.7164136296943386, 811
확인, 1.8199854309116805, 88
보인, 1.602091461516324, 51
주신, 1.2533098625178554, 21
하느, 1.392361993108623, 30
하는, 2.8679640706680067, 1179
클리, 1.214664910159686, 19
드렸, 1.5057238994937217, 40
이제, 2.691707606317781, 763
아노, 2.0036635791151727, 139
되었, 1.23444761934926, 20
입니, 2.150305097876732, 200
보셨, 1.1487691548412475, 16
범죄자, 1.1938672690056138, 18
들이, 1.8631607668047936, 98
글쎄요, 1.392361993108623, 30
대미지, 1.2533098625178554, 21
모르, 2.5140901225788843, 492
폭행, 1.1487691548412475, 16
접속, 1.8792208902645726, 102
하셔, 1.8984408441825342, 107
마세, 1.8631607668047936, 98
지속, 1.1487691548412475, 16
대상, 1.5523804977348443, 45
완료, 2.354999122607544, 332
그것, 1.9411608570540666, 119
랜덤, 1.698758812911628, 65
얼굴, 1.4641012218199978, 36
